start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
2200000	0.002023	0.002051	0.002082	0.002012	0.00023	0.00028	0.00021	5e-05	0.00204833	0.00024	2.91599	2.87888	False
2250000	0.001415	0.001466	0.001466	0.001476	0.00062	0.00062	0.00063	6e-05	0.00146933	0.000623333	0.659646	0.84487	False
2300000	0.0013545	0.0015325	0.0015625	0.0015625	0.00073	0.00076	0.00076	9e-05	0.0015525	0.00075	0.435125	1.13703	False
2350000	0.001816	0.001806	0.001866	0.001846	0.00023	0.00029	0.00027	0.00012	0.00183933	0.000263333	2.14779	2.14467	False
2400000	0.001469	0.001339	0.001399	0.001369	0.00051	0.00057	0.00054	0.00016	0.001369	0.00054	0.860045	0.492402	False
2450000	0.0013345	0.001408	0.0014085	0.001429	0.00058	0.00058	0.00062	0.00039	0.00141517	0.000593333	0.360904	0.654584	False
2500000	0.001191	0.0011715	0.0012715	0.0012015	0.00101	0.00111	0.00104	8e-05	0.00121483	0.00105333	-0.171638	-0.0491816	False
2550000	0.0013535	0.0014265	0.0014765	0.0013965	0.0012	0.00125	0.00117	0.00026	0.00143317	0.00120667	0.431414	0.717817	False
2600000	0.001078	0.001072	0.001082	0.001032	0.00107	0.00112	0.00107	0.00031	0.001062	0.00108667	-0.590991	-0.586081	False
2650000	0.000822	0.001115	0.001105	0.001086	0.00085	0.00084	0.00081	9e-05	0.001102	0.000833333	-1.54103	-0.445562	False
2700000	0.000757	0.000807	0.000837	0.000827	0.00067	0.0007	0.00069	0.00015	0.000823667	0.000686667	-1.78225	-1.42334	False
2750000	0.0011005	0.0010405	0.0011005	0.0010805	0.00089	0.00095	0.00093	0.00014	0.00107383	0.000923333	-0.507492	-0.544511	False
2800000	0.00184	0.0011655	0.0011655	0.0011555	0.00167	0.00167	0.00166	2e-05	0.00116217	0.00166667	2.23686	-0.234198	False
2850000	0.001108	0.001548	0.001588	0.001568	0.00173	0.00177	0.00175	8e-05	0.001568	0.00175	-0.479658	1.19148	False
2900000	0.001634	0.001584	0.001514	0.001534	0.00047	0.0004	0.00042	7e-05	0.001544	0.00043	1.47238	1.10717	False
2950000	0.001301	0.001555	0.001565	0.001595	0.00089	0.0009	0.00093	3e-05	0.00157167	0.000906667	0.236582	1.20436	False
3000000	0.0011985	0.0012885	0.0012685	0.0012585	0.00087	0.00085	0.00084	2e-05	0.00127183	0.000853333	-0.143805	0.151058	False
3050000	0.001128	0.001178	0.001228	0.001188	0.00031	0.00036	0.00032	0.00011	0.001198	0.00033	-0.405437	-0.108317	False
3100000	0.0014545	0.0014045	0.0014945	0.0014745	0.00033	0.00042	0.0004	0.00023	0.00145783	0.000383333	0.806234	0.804471	False
3150000	0.0014835	0.001481	0.0014255	0.0014975	0.00098	0.00075	0.00066	0.00033	0.001468	0.000796667	0.913856	0.840186	False
3200000	0.001636	0.00126	0.00143	0.00144	0.00168	0.00141	0.00142	0.00061	0.00137667	0.00150333	1.4798	0.519334	False
3250000	0.001037	0.001067	0.001087	0.001107	0.00086	0.00088	0.0009	0.00015	0.001087	0.00088	-0.743146	-0.498257	False
3300000	0.0012735	0.0010635	0.0011635	0.0011735	0.00035	0.00045	0.00046	8e-05	0.0011335	0.00042	0.134527	-0.334903	False
3350000	0.0010625	0.0008825	0.0009225	0.0009525	0.00026	0.0003	0.00033	8e-05	0.000919167	0.000296667	-0.648513	-1.08785	False
3400000	0.001964	0.001846	0.001846	0.00183	0.00057	0.00057	0.00059	0.0001	0.00184067	0.000576667	2.69704	2.14935	False
3450000	0.001349	0.001097	0.001197	0.001137	0.00053	0.00063	0.00057	0.00024	0.00114367	0.000576667	0.414714	-0.299188	False
3500000	0.001345	0.001246	0.001334	0.001324	0.0004	0.00043	0.00042	0.00015	0.00130133	0.000416667	0.39987	0.254691	False
3550000	0.001035	0.000905	0.000925	0.000935	0.00035	0.00037	0.00038	8e-05	0.000921667	0.000366667	-0.750568	-1.07907	False
3600000	0.0018595	0.0016565	0.0016165	0.0016065	0.00134	0.0013	0.00129	0.00016	0.0016265	0.00131	2.30923	1.39699	False
3650000	0.00118	0.00114	0.00113	0.00114	0.00026	0.00025	0.00026	3e-05	0.00113667	0.000256667	-0.21246	-0.323779	False
3700000	0.0013315	0.0017295	0.0017095	0.0017095	0.00142	0.0014	0.0014	6e-05	0.00171617	0.00140667	0.34977	1.71199	False
3750000	0.0013595	0.0014495	0.0014795	0.0015195	0.0003	0.00037	0.00033	0.00011	0.00148283	0.000333333	0.453681	0.892295	False
3800000	0.001034	0.0009295	0.001004	0.000984	0.00085	0.00097	0.00095	0.00022	0.0009725	0.000923333	-0.754279	-0.900492	False
