start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
7750000	0.000925	0.000994	0.000852	0.000934	0.00042	0.00044	0.00036	0.00014	0.000926667	0.000406667	-1.15879	-1.0615	False
7800000	0.000932	0.000852	0.000882	0.000822	0.00038	0.00041	0.00035	0.00015	0.000852	0.00038	-1.13281	-1.32381	False
7850000	0.0013015	0.0014015	0.0013815	0.0013115	0.00054	0.00052	0.00045	0.00012	0.00136483	0.000503333	0.238438	0.477764	False
7900000	0.0011795	0.0013495	0.0016595	0.001359	0.00095	0.00096	0.00088	0.00057	0.001456	0.00093	-0.214315	0.79803	False
7950000	0.001272	0.0013315	0.0013815	0.0013715	0.00037	0.00042	0.00039	9e-05	0.0013615	0.000393333	0.12896	0.466054	False
8000000	0.001522	0.001226	0.001296	0.001346	0.00126	0.00132	0.00137	0.00014	0.00128933	0.00131667	1.05673	0.212535	False
8050000	0.0013015	0.0014005	0.0014205	0.0013905	0.00123	0.00125	0.00122	0.00017	0.00140383	0.00123333	0.238438	0.61477	False
8100000	0.001165	0.001131	0.001121	0.001111	0.00039	0.0003	0.00029	0.00023	0.001121	0.000326667	-0.268126	-0.378816	False
8150000	0.001302	0.001142	0.001222	0.001172	0.00046	0.00054	0.00049	0.00012	0.00117867	0.000496667	0.240293	-0.176234	False
8200000	0.000911	0.000921	0.000951	0.000931	0.00011	0.00014	0.00012	9e-05	0.000934333	0.000123333	-1.21074	-1.03457	False
8250000	0.0013815	0.0015155	0.0015855	0.0015555	0.00039	0.00046	0.00043	6e-05	0.00155217	0.000426667	0.535325	1.13586	False
8300000	0.0013345	0.0011505	0.0011805	0.0011405	0.00057	0.0006	0.00056	0.00019	0.00115717	0.000576667	0.360904	-0.251763	False
8350000	0.0014065	0.000982	0.000972	0.000962	0.00096	0.00095	0.00094	0.00022	0.000972	0.00095	0.628102	-0.902248	False
8400000	0.0011935	0.0012235	0.0012535	0.0012835	0.00033	0.00036	0.00039	0.00023	0.0012535	0.00036	-0.16236	0.0866533	False
8450000	0.000588	0.00063	0.00064	0.00059	0.00038	0.00039	0.00034	0.00011	0.00062	0.00037	-2.40943	-2.13881	False
8500000	0.001032	0.001142	0.001182	0.001172	0.00027	0.00031	0.00032	0.00016	0.00116533	0.0003	-0.761701	-0.223074	False
8550000	0.0009305	0.0009385	0.0010405	0.0009785	0.0004	0.00033	0.00044	0.00037	0.000985833	0.00039	-1.13838	-0.853652	False
8600000	0.0014	0.000872	0.00136	0.00135	0.0013	0.00032	0.00031	0.00108	0.001194	0.000643333	0.60398	-0.122369	False
8650000	0.000903	0.0009125	0.001113	0.001043	0.00047	0.00039	0.00032	0.0004	0.00102283	0.000393333	-1.24043	-0.723672	False
8700000	0.001456	0.001436	0.001476	0.001456	0.00042	0.00038	0.0004	0.00032	0.001456	0.0004	0.811801	0.79803	False
8750000	0.001561	0.001541	0.001521	0.001531	0.00038	0.00036	0.00037	0.00012	0.001531	0.00037	1.20147	1.0615	False
8800000	0.0013915	0.0014795	0.0014995	0.0014795	0.00062	0.00064	0.00062	0.00022	0.00148617	0.000626667	0.572436	0.904005	False
