start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
2200000	0.001227	0.001457	0.001507	0.001437	0.00088	0.00093	0.00086	5e-05	0.001467	0.00089	0.0349526	0.892788	False
2250000	0.001833	0.001721	0.001721	0.001731	0.00084	0.00084	0.00085	6e-05	0.00172433	0.000843333	2.32482	1.82387	False
2300000	0.0011635	0.0011035	0.0011935	0.0011735	0.00137	0.00146	0.00144	0.00015	0.00115683	0.00142333	-0.204992	-0.229453	False
2350000	0.0009835	0.0010115	0.0010535	0.0010235	0.00032	0.00033	0.0003	0.00025	0.0010295	0.000316667	-0.885151	-0.69017	False
2400000	0.0008065	0.0008865	0.0009165	0.0009165	0.00016	0.00019	0.00019	7e-05	0.0009065	0.00018	-1.55397	-1.13521	False
2450000	0.0012105	0.0010605	0.0011105	0.0010905	0.00039	0.00044	0.00042	0.00023	0.00108717	0.000416667	-0.0273953	-0.481521	False
2500000	0.0008055	0.0007965	0.0008565	0.0008065	0.00036	0.00042	0.00037	0.00016	0.000819833	0.000383333	-1.55775	-1.44878	False
2550000	0.0011865	0.0013045	0.0013045	0.0012345	0.0005	0.0005	0.00043	0.00021	0.00128117	0.000476667	-0.118083	0.220408	False
2600000	0.000955	0.0012	0.001191	0.001191	0.00098	0.00097	0.00097	0.00017	0.001194	0.000973333	-0.992843	-0.0949775	False
2650000	0.001552	0.001021	0.001068	0.001075	0.00093	0.00098	0.00099	0.00011	0.00105467	0.000966667	1.26302	-0.599112	False
2700000	0.0014305	0.0014205	0.0014605	0.0014305	0.00037	0.00041	0.00038	0.00012	0.00143717	0.000386667	0.80391	0.784846	False
2750000	0.0010165	0.0010665	0.0011065	0.0010865	0.00023	0.00027	0.00025	8e-05	0.0010865	0.00025	-0.760455	-0.483933	False
2800000	0.0010005	0.0009605	0.0009805	0.0009505	0.00026	0.00028	0.00025	4e-05	0.000963833	0.000263333	-0.820914	-0.927764	False
2850000	0.0010245	0.0009745	0.0009945	0.0009845	0.00053	0.00055	0.00054	2e-05	0.0009845	0.00054	-0.730226	-0.852988	False
2900000	0.0018295	0.0012685	0.0011985	0.0012185	0.00103	0.00096	0.00098	7e-05	0.0012285	0.00099	2.3116	0.0298501	False
2950000	0.001243	0.001117	0.001127	0.001157	0.00055	0.00056	0.00059	3e-05	0.00113367	0.000566667	0.0954112	-0.313275	False
3000000	0.001149	0.000877	0.000857	0.000887	0.00109	0.00107	0.0011	0.0001	0.000873667	0.00108667	-0.259783	-1.254	False
3050000	0.001171	0.001234	0.001264	0.001244	0.00085	0.00088	0.00086	-5e-05	0.00124733	0.000863333	-0.176652	0.0979926	False
3100000	0.0016605	0.0015955	0.0016855	0.0016655	0.00099	0.00108	0.00106	0.00021	0.00164883	0.00104333	1.673	1.5507	False
3150000	0.000976	0.000983	0.000993	0.000983	0.001	0.00101	0.001	9e-05	0.000986333	0.00100333	-0.913491	-0.846355	False
3200000	0.001372	0.001157	0.001177	0.001217	0.00062	0.00064	0.00068	0.00014	0.00118367	0.000646667	0.582858	-0.132365	False
3250000	0.001122	0.001152	0.001152	0.001162	0.00041	0.00041	0.00042	0.00019	0.00115533	0.000413333	-0.361807	-0.234881	False
