start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
2200000	0.0013945	0.0011745	0.0012245	0.0011545	0.00078	0.00083	0.00076	0.00013	0.0011845	0.00079	0.663707	-0.0625499	False
2250000	0.0007655	0.0008035	0.0008035	0.0008135	0.00033	0.00033	0.00034	6e-05	0.000806833	0.000333333	-1.80289	-1.45898	False
2300000	0.000798	0.001349	0.001369	0.001369	0.00146	0.00148	0.00148	2e-05	0.00136233	0.00147333	-1.67544	0.594994	False
2350000	0.0009665	0.0008485	0.0008685	0.0008485	0.00041	0.00043	0.00041	0.00028	0.000855167	0.000416667	-1.01468	-1.28027	False
2400000	0.000982	0.001052	0.001092	0.001072	0.00023	0.00027	0.00025	4e-05	0.001072	0.00025	-0.953895	-0.478522	False
2450000	0.0016745	0.0015045	0.0015745	0.0015845	0.00031	0.00034	0.00035	0.00015	0.0015545	0.000333333	1.76171	1.30554	False
2500000	0.0018695	0.0018425	0.0019525	0.0019025	0.0003	0.00041	0.00036	0.00019	0.00189917	0.000356667	2.5264	2.57995	False
2550000	0.0016135	0.0014215	0.0015795	0.0015475	0.00162	0.00158	0.00147	0.00027	0.00151617	0.00155667	1.52251	1.1638	False
2600000	0.0009595	0.0010305	0.00103	0.00101	0.00049	0.00042	0.00046	0.00023	0.0010235	0.000456667	-1.04213	-0.657852	False
2650000	0.002278	0.002148	0.002148	0.002168	0.00037	0.00039	0.00043	0.00014	0.00215467	0.000396667	4.12831	3.52467	True
2700000	0.00109	0.00114	0.00121	0.00117	0.00019	0.00026	0.00022	0.00023	0.00117333	0.000223333	-0.530377	-0.103839	False
2750000	0.0011415	0.0008955	0.0008265	0.0008065	0.00078	0.00083	0.00081	0.00035	0.000842833	0.000806667	-0.328422	-1.32587	False
2800000	0.001032	0.001082	0.001082	0.001072	0.00049	0.00049	0.00048	2e-05	0.00107867	0.000486667	-0.757822	-0.453872	False
2850000	0.000859	0.000849	0.000889	0.000869	0.00045	0.00049	0.00047	8e-05	0.000869	0.00047	-1.43623	-1.22912	False
2900000	0.001167	0.001104	0.001034	0.001054	0.00037	0.0003	0.00032	7e-05	0.001064	0.00033	-0.228425	-0.508102	False
2950000	0.0009795	0.0009115	0.0009215	0.0009515	0.00037	0.00038	0.00041	-5e-05	0.000928167	0.000386667	-0.963698	-1.01035	False
3000000	0.001375	0.001334	0.001314	0.001344	0.00045	0.00043	0.00046	0.0001	0.00133067	0.000446667	0.587238	0.477906	False
3050000	0.0013715	0.0012715	0.0012775	0.0012815	0.0003	0.00033	0.00031	0.00011	0.00127683	0.000313333	0.573513	0.278855	False
3100000	0.001252	0.001092	0.001142	0.001122	0.00054	0.00061	0.00059	0.00025	0.00111867	0.00058	0.104899	-0.30597	False
3150000	0.001073	0.001502	0.0014625	0.001425	0.00094	0.0009	0.00076	0.00012	0.00146317	0.000866667	-0.597042	0.967828	False
3200000	0.001242	0.001282	0.001302	0.001302	0.00038	0.0004	0.0004	0.00014	0.00129533	0.000393333	0.0656844	0.34726	False
3250000	0.000954	0.000937	0.000977	0.001027	0.00039	0.00047	0.0005	0.0002	0.000980333	0.000453333	-1.0637	-0.817462	False
3300000	0.001999	0.0016335	0.001752	0.001825	0.00091	0.00107	0.00122	0.0004	0.00173683	0.00106667	3.03423	1.97972	True
3350000	0.0012185	0.0009975	0.001002	0.0008505	0.00054	0.00067	0.00099	0.00041	0.00095	0.000733333	-0.0264698	-0.92962	False
3400000	0.0007685	0.0007335	0.0007035	0.0007035	0.00068	0.00065	0.00065	0.00011	0.0007135	0.00066	-1.79113	-1.80409	False
3450000	0.00125	0.001446	0.001546	0.001516	0.00061	0.00071	0.00068	0.00024	0.00150267	0.000666667	0.0970561	1.11388	False
3500000	0.001488	0.00145	0.00148	0.00147	0.001	0.00103	0.00102	0.00015	0.00146667	0.00101667	1.03036	0.980769	False
3550000	0.0010785	0.0012525	0.0013125	0.0013225	0.00133	0.00139	0.0014	0.00012	0.00129583	0.00137333	-0.575474	0.349108	False
3600000	0.001135	0.001333	0.001333	0.001323	0.0003	0.0003	0.00029	0.0002	0.00132967	0.000296667	-0.353912	0.474208	False
3650000	0.001269	0.001159	0.001149	0.001159	0.00116	0.00115	0.00116	3e-05	0.00115567	0.00115667	0.171564	-0.169162	False
3700000	0.001677	0.001613	0.001593	0.001593	0.0008	0.00078	0.00078	6e-05	0.00159967	0.000786667	1.77152	1.47254	False
3750000	0.0010805	0.0011565	0.0011765	0.0012065	0.00119	0.00121	0.00124	0.00015	0.00117983	0.00121333	-0.567631	-0.079805	False
3800000	0.0012885	0.0014825	0.0015525	0.0014925	0.00127	0.00134	0.00128	0.00011	0.00150917	0.00129667	0.248032	1.13791	False
3850000	0.0016815	0.0017135	0.0016935	0.0017335	0.00062	0.0006	0.00064	3e-05	0.0017135	0.00062	1.78917	1.89344	False
3900000	0.0016045	0.0015545	0.0016545	0.0016045	0.00045	0.00055	0.0005	0.0001	0.0016045	0.0005	1.48721	1.49041	False
3950000	0.001311	0.001331	0.001361	0.001331	0.00026	0.00029	0.00026	7e-05	0.001341	0.00027	0.336265	0.516113	False
4000000	0.0011995	0.0009455	0.0010255	0.0009755	0.00087	0.00095	0.0009	0.0001	0.000982167	0.000906667	-0.100978	-0.810683	False
4050000	0.001211	0.001238	0.001144	0.001114	0.00109	0.00091	0.00088	0.00022	0.00116533	0.00096	-0.0558808	-0.133419	False
4100000	0.001228	0.0012535	0.0012635	0.0012535	0.00049	0.0005	0.00049	-1e-05	0.00125683	0.000493333	0.010784	0.204905	False
4150000	0.0014715	0.00133	0.0014355	0.0014005	0.00113	0.00106	0.00102	0.0006	0.00138867	0.00107	0.965659	0.692362	False
4200000	0.001414	0.001384	0.001394	0.001404	0.00096	0.00097	0.00098	0.00029	0.001394	0.00097	0.740175	0.712082	False
4250000	0.0011215	0.0011945	0.0012065	0.0012155	0.00077	0.00078	0.00079	0.00019	0.0012055	0.00078	-0.406851	0.0150982	False
4300000	0.001449	0.001539	0.001609	0.001569	0.00057	0.00064	0.0006	0.00015	0.00157233	0.000603333	0.877426	1.37147	False
4350000	0.0009805	0.0010205	0.0010805	0.0010505	0.00024	0.0003	0.00027	0.0001	0.0010505	0.00027	-0.959777	-0.558019	False
4400000	0.0009555	0.001212	0.001182	0.001202	0.00076	0.00073	0.00075	9e-05	0.00119867	0.000746667	-1.05781	-0.0101682	False
4450000	0.0013415	0.001297	0.001357	0.001417	0.00041	0.00047	0.00053	0.00018	0.001357	0.00047	0.455869	0.575274	False
4500000	0.001466	0.001546	0.001506	0.001526	0.00048	0.00044	0.00046	0.00026	0.001526	0.00046	0.944091	1.20016	False
4550000	0.001255	0.001075	0.001095	0.001065	0.00088	0.0009	0.00087	0.00018	0.00107833	0.000883333	0.116663	-0.455104	False
4600000	0.0013725	0.0013125	0.0012875	0.0012475	0.00038	0.00063	0.00059	0.00039	0.0012825	0.000533333	0.577435	0.299808	False
4650000	0.0013855	0.0013575	0.0013675	0.0013575	0.00045	0.00046	0.00045	0.00021	0.00136083	0.000453333	0.628414	0.589448	False
4700000	0.001351	0.00137	0.00142	0.0014	0.00128	0.00133	0.00131	0.00023	0.00139667	0.00130667	0.493123	0.721942	False
4750000	0.0013225	0.0011345	0.0011445	0.0011445	0.0005	0.00051	0.00051	0.00017	0.00114117	0.000506667	0.381362	-0.222776	False
4800000	0.0007405	0.0007105	0.0007305	0.0007205	0.00021	0.00023	0.00022	-3e-05	0.0007205	0.00022	-1.90093	-1.7782	False
4850000	0.00069	0.0008	0.00079	0.00081	0.00033	0.00032	0.00034	-1e-05	0.0008	0.00033	-2.09896	-1.48425	False
4900000	0.001326	0.0013385	0.0014465	0.0013985	0.00038	0.00049	0.00044	5e-05	0.0013945	0.000436667	0.395087	0.713931	False
4950000	0.001437	0.0013475	0.0013775	0.0013875	0.00099	0.00102	0.00103	3e-05	0.00137083	0.00101333	0.830369	0.626423	False
5000000	0.001178	0.001058	0.001058	0.001028	0.0004	0.0004	0.00037	0.0001	0.001048	0.00039	-0.185289	-0.567262	False
5050000	0.001712	0.001739	0.001789	0.001759	0.0009	0.00095	0.00092	9e-05	0.00176233	0.000923333	1.90877	2.07401	False
5100000	0.000682	0.000741	0.000741	0.000731	0.0004	0.0004	0.00039	8e-05	0.000737667	0.000396667	-2.13033	-1.71473	False
5150000	0.001165	0.001081	0.001021	0.001011	0.00111	0.00105	0.00104	0.00019	0.00103767	0.00106667	-0.236268	-0.60547	False
5200000	0.0007605	0.0006705	0.0006805	0.0006805	0.00031	0.00032	0.00032	0.00011	0.000677167	0.000316667	-1.8225	-1.93843	False
5250000	0.000895	0.001047	0.001087	0.001087	0.00056	0.0006	0.0006	-6e-05	0.00107367	0.000586667	-1.29506	-0.472359	False
5300000	0.0017205	0.0016475	0.0017275	0.0017075	0.00074	0.00082	0.0008	0.00022	0.00169417	0.000786667	1.9421	1.82196	False
5350000	0.001107	0.000994	0.001124	0.001094	0.00083	0.00096	0.00093	0.0003	0.00107067	0.000906667	-0.463712	-0.483452	False
5400000	0.001622	0.0014675	0.001592	0.001592	0.00063	0.00045	0.00045	0.00041	0.0015505	0.00051	1.55584	1.29075	False
5450000	0.001702	0.0015165	0.0015095	0.0014995	0.00078	0.00075	0.00074	0.00013	0.0015085	0.000756667	1.86956	1.13545	False
5500000	0.001188	0.001296	0.001376	0.001326	0.0011	0.00118	0.00113	2e-05	0.00133267	0.00113667	-0.146074	0.485301	False
5550000	0.001031	0.001118	0.001198	0.001148	0.00058	0.00066	0.00061	0.00016	0.00115467	0.000616667	-0.761743	-0.172859	False
5600000	0.0009215	0.0010405	0.001087	0.0011005	0.00055	0.00058	0.00061	5e-05	0.001076	0.00058	-1.19114	-0.463732	False
5650000	0.000968	0.000808	0.000868	0.000838	0.00032	0.00038	0.00035	0.00012	0.000838	0.00035	-1.0088	-1.34374	False
5700000	0.0009265	0.0008115	0.0008115	0.0008115	0.00068	0.00068	0.00068	0.00011	0.0008115	0.00068	-1.17154	-1.44173	False
5750000	0.0011305	0.0010375	0.0010675	0.0010975	0.00026	0.00029	0.00032	1e-05	0.0010675	0.00029	-0.371558	-0.495161	False
5800000	0.0012775	0.0012075	0.0012575	0.0012575	0.00033	0.00038	0.00038	0.00019	0.00124083	0.000363333	0.204896	0.145744	False
5850000	0.001355	0.001245	0.001255	0.001265	0.00047	0.00044	0.00045	0.00029	0.001255	0.000453333	0.508809	0.198126	False
5900000	0.00134	0.001352	0.001352	0.001342	0.00071	0.00069	0.00068	0.00014	0.00134867	0.000693333	0.449987	0.544461	False
5950000	0.0007995	0.0006865	0.0007565	0.0007265	0.00033	0.0004	0.00037	5e-05	0.000723167	0.000366667	-1.66956	-1.76834	False
6000000	0.001108	0.000875	0.000875	0.000865	0.0009	0.0009	0.00089	0.00014	0.000871667	0.000896667	-0.459791	-1.21926	False
6050000	0.001769	0.001395	0.001395	0.001405	0.00074	0.00074	0.00075	0.00016	0.00139833	0.000743333	2.13229	0.728105	False
6100000	0.001162	0.001097	0.001087	0.001087	0.00066	0.00065	0.00065	9e-05	0.00109033	0.000653333	-0.248032	-0.410734	False
6150000	0.0011195	0.0011495	0.0011295	0.0011195	0.00037	0.00035	0.00034	8e-05	0.00113283	0.000353333	-0.414694	-0.253589	False
6200000	0.00139	0.0012205	0.0012405	0.0012305	0.00064	0.00064	0.00063	8e-05	0.0012305	0.000636667	0.64606	0.107536	False
6250000	0.0016385	0.001505	0.001545	0.0015515	0.00041	0.00033	0.00044	0.00024	0.00153383	0.000393333	1.62054	1.22912	False
6300000	0.001232	0.001262	0.001242	0.001252	0.00039	0.00037	0.0004	0.0001	0.001252	0.000386667	0.0264698	0.187033	False
6350000	0.001205	0.001165	0.001175	0.001165	0.0001	0.00011	0.0001	-1e-05	0.00116833	0.000103333	-0.0794095	-0.122327	False
6400000	0.0013805	0.0014185	0.0014885	0.0014985	0.00039	0.00046	0.00047	9e-05	0.0014685	0.00044	0.608806	0.987548	False
6450000	0.0015535	0.0016815	0.0017215	0.0016915	0.0006	0.00064	0.00061	0.00012	0.00169817	0.000616667	1.28722	1.83675	False
6500000	0.001263	0.001107	0.001093	0.001133	0.0003	0.00027	0.00033	0.00013	0.001111	0.0003	0.148035	-0.334318	False
6550000	0.0007305	0.0008275	0.0009175	0.0009075	0.00084	0.00089	0.00088	0.00021	0.000884167	0.00087	-1.94014	-1.17304	False
6600000	0.0014025	0.0010055	0.0010455	0.0012395	0.00106	0.0011	0.00073	0	0.00109683	0.000963333	0.695078	-0.3867	False
6650000	0.0012275	0.0011845	0.0011945	0.0012045	0.00092	0.00093	0.00094	3e-05	0.0011945	0.00093	0.00882328	-0.0255746	False
6700000	0.001201	0.0011635	0.0011695	0.0011815	0.00068	0.00056	0.00055	0.00068	0.0011715	0.000596667	-0.0950954	-0.110618	False
6750000	0.001678	0.001772	0.001872	0.001822	0.00051	0.00061	0.00056	0.0001	0.001822	0.00056	1.77544	2.29462	False
6800000	0.001846	0.00183	0.0018	0.00182	0.00101	0.00098	0.001	0.00013	0.00181667	0.000996667	2.43424	2.2749	False
6850000	0.0013685	0.0012825	0.0014285	0.0014485	0.00073	0.00083	0.00085	0.00084	0.0013865	0.000803333	0.561749	0.684351	False
6900000	0.0018825	0.0016925	0.0016525	0.001744	0.00134	0.0013	0.0014	0.00014	0.00169633	0.00134667	2.57738	1.82997	False
6950000	0.0016185	0.0018025	0.0017185	0.0017185	0.00085	0.00066	0.00066	0.00051	0.0017465	0.000723333	1.54211	2.01546	False
7000000	0.0011495	0.0011885	0.0012435	0.0012365	0.0008	0.00102	0.00096	0.00041	0.00122283	0.000926667	-0.29705	0.0791887	False
7050000	0.00139	0.001157	0.0011925	0.001145	0.00098	0.00102	0.00096	0.00012	0.00116483	0.000986667	0.64606	-0.135268	False
7100000	0.0011465	0.0011365	0.0014445	0.0014045	0.00033	0.00089	0.00085	0.00072	0.0013285	0.00069	-0.308815	0.469894	False
7150000	0.0007855	0.0008355	0.0008855	0.0009055	5e-05	0.0001	0.00012	5e-05	0.0008755	9e-05	-1.72446	-1.20509	False
7200000	0.000822	0.00087	0.00095	0.000959	0.00034	0.00042	0.00043	0.00017	0.000926333	0.000396667	-1.58133	-1.01713	False
7250000	0.0015305	0.001348	0.001465	0.0014885	0.00057	0.00079	0.00067	0.00031	0.00143383	0.000676667	1.19703	0.859367	False
7300000	0.0013455	0.001116	0.0011555	0.0010855	0.00091	0.00099	0.00092	0.00037	0.001119	0.00094	0.471555	-0.304738	False
7350000	0.0013845	0.0012335	0.0013335	0.0012935	0.00126	0.00136	0.00132	0.0002	0.00128683	0.00131333	0.624492	0.315831	False
7400000	0.0010315	0.0006255	0.0006355	0.0006455	0.00087	0.00088	0.00089	0.00011	0.0006355	0.00088	-0.759782	-2.09249	False
7450000	0.001162	0.0013225	0.001433	0.001213	0.00057	0.00087	0.00077	0.0004	0.00132283	0.000736667	-0.248032	0.448942	False
7500000	0.001412	0.001342	0.001382	0.001422	0.00031	0.00035	0.00039	0.00016	0.001382	0.00035	0.732332	0.667712	False
7550000	0.001578	0.00165	0.001822	0.001812	0.00094	0.00116	0.00115	0.00052	0.00176133	0.00108333	1.38329	2.07031	False
7600000	0.0014445	0.0014895	0.0014495	0.0014495	0.00123	0.00119	0.00119	0.00016	0.00146283	0.00120333	0.85978	0.966595	False
7650000	0.000897	0.001057	0.0010415	0.001087	0.00042	0.00043	0.00045	0.00025	0.00106183	0.000433333	-1.28722	-0.516113	False
7700000	0.0010385	0.000993	0.0011205	0.0010205	0.0006	0.00061	0.00056	0.00048	0.00104467	0.00059	-0.732332	-0.579588	False
7750000	0.0011025	0.001107	0.0009725	0.0010305	0.00057	0.00037	0.00045	0.00024	0.00103667	0.000463333	-0.481359	-0.609168	False
7800000	0.0010915	0.0010995	0.0011095	0.0010695	0.00045	0.00047	0.00042	0.00013	0.00109283	0.000446667	-0.524495	-0.40149	False
7850000	0.0014055	0.001468	0.001518	0.001478	0.00056	0.00061	0.00057	7e-05	0.001488	0.00058	0.706843	1.05965	False
7900000	0.0009355	0.0009525	0.0009325	0.0009125	0.00043	0.00041	0.00039	0.00022	0.0009325	0.00041	-1.13624	-0.994327	False
7950000	0.001141	0.000979	0.001049	0.000993	0.00076	0.00083	0.00084	7e-05	0.001007	0.00081	-0.330383	-0.718861	False
8000000	0.0011115	0.0011815	0.0011915	0.0012515	0.00023	0.00026	0.00032	0.0001	0.00120817	0.00027	-0.446066	0.0249583	False
8050000	0.001156	0.000982	0.001052	0.001022	0.00024	0.00031	0.00028	-4e-05	0.00101867	0.000276667	-0.271561	-0.675723	False
8100000	0.0010445	0.001134	0.0011665	0.0011365	0.0005	0.00055	0.00052	-7e-05	0.00114567	0.000523333	-0.708804	-0.206137	False
8150000	0.001328	0.00115	0.00117	0.00118	0.0008	0.00082	0.00083	0.0001	0.00116667	0.000816667	0.40293	-0.128489	False
8200000	0.001387	0.00097	0.001351	0.00098	0.00109	0.00088	0.0011	0.00075	0.00110033	0.00102333	0.634296	-0.373758	False
8250000	0.0014225	0.001336	0.001406	0.0014025	0.00055	0.00062	0.00059	0.0002	0.0013815	0.000586667	0.773508	0.665863	False
8300000	0.001144	0.001194	0.001204	0.001174	0.00037	0.0003	0.00027	0.00031	0.00119067	0.000313333	-0.318618	-0.0397484	False
8350000	0.0015685	0.0019235	0.001669	0.001679	0.00134	0.00098	0.00099	0.00051	0.00175717	0.00110333	1.34604	2.0549	False
8400000	0.0014525	0.0014225	0.0014325	0.0014425	0.00023	0.00024	0.00025	0.00013	0.0014325	0.00024	0.891151	0.854437	False
8450000	0.001236	0.001206	0.001266	0.001186	0.00023	0.00029	0.00021	0.0002	0.00121933	0.000243333	0.0421557	0.0662474	False
8500000	0.0009465	0.0010265	0.0010565	0.0010465	0.00024	0.00027	0.00026	0.00023	0.00104317	0.000256667	-1.09311	-0.585134	False
8550000	0.0012705	0.0012305	0.0012805	0.0012605	0.00026	0.00031	0.00029	0.00015	0.00125717	0.000286667	0.177446	0.206137	False
8600000	0.001614	0.0015095	0.001405	0.001385	0.00034	0.00044	0.00042	0.0003	0.00143317	0.0004	1.52447	0.856902	False
8650000	0.0012775	0.0010955	0.0011955	0.0011255	0.00051	0.00061	0.00054	0.00026	0.00113883	0.000553333	0.204896	-0.231404	False
8700000	0.0019815	0.0019505	0.0019665	0.0019865	0.00059	0.0006	0.00062	0.00015	0.00196783	0.000603333	2.9656	2.83385	False
8750000	0.000867	0.00103	0.001	0.00101	0.00041	0.00038	0.00039	0.00013	0.00101333	0.000393333	-1.40486	-0.695443	False
8800000	0.0009345	0.0009945	0.0009045	0.0009845	0.00022	0.00013	0.00021	9e-05	0.000961167	0.000186667	-1.14016	-0.888331	False
8850000	0.0012555	0.0010765	0.0011465	0.0010865	0.0006	0.00067	0.00061	0.00019	0.00110317	0.000626667	0.118624	-0.363282	False
8900000	0.0015115	0.0016065	0.0016665	0.0016065	0.00093	0.00099	0.00093	8e-05	0.0016265	0.00095	1.12252	1.57176	False
8950000	0.0008915	0.0007525	0.0007425	0.0008025	0.00056	0.00055	0.00061	5e-05	0.000765833	0.000573333	-1.30879	-1.61058	False
9000000	0.0010265	0.0012235	0.0012035	0.0011835	0.00053	0.00051	0.00049	-2e-05	0.0012035	0.00051	-0.77939	0.00770318	False
9050000	0.0009875	0.000936	0.000996	0.000976	0.0009	0.00096	0.00094	0.0002	0.000969333	0.000933333	-0.932327	-0.858135	False
9100000	0.000887	0.000927	0.000917	0.000957	0.0003	0.00029	0.00033	0.00011	0.000933667	0.000306667	-1.32643	-0.990013	False
9150000	0.000965	0.000962	0.001002	0.000982	0.00075	0.00079	0.00077	8e-05	0.000982	0.00077	-1.02056	-0.811299	False
9200000	0.0008995	0.0010765	0.0010765	0.0010465	0.00074	0.00074	0.00071	0.00016	0.0010665	0.00073	-1.27741	-0.498858	False
9250000	0.0012665	0.0011585	0.0012285	0.0011985	0.00076	0.00083	0.0008	7e-05	0.00119517	0.000796667	0.16176	-0.0231096	False
9300000	0.001318	0.0013035	0.001309	0.0013635	0.00059	0.00068	0.00063	0.00023	0.00132533	0.000633333	0.363715	0.458185	False
9350000	0.001245	0.00118	0.0012	0.00122	0.00046	0.00048	0.0005	0	0.0012	0.00048	0.0774488	-0.00523816	False
9400000	0.001219	0.001169	0.001199	0.001119	0.00035	0.00038	0.00054	5e-05	0.00116233	0.000423333	-0.0245091	-0.144512	False
9450000	0.0017775	0.0014545	0.0014945	0.0014845	0.00069	0.00073	0.0007	0.00012	0.00147783	0.000706667	2.16563	1.02206	False
9500000	0.000856	0.000896	0.000846	0.000786	0.0005	0.00045	0.00039	0.00029	0.000842667	0.000446667	-1.448	-1.32649	False
9550000	0.0011055	0.0010255	0.0010325	0.0010835	0.00061	0.00056	0.00066	0.00021	0.00104717	0.00061	-0.469595	-0.570344	False
9600000	0.0013825	0.0010635	0.0011635	0.0012135	0.00103	0.00113	0.00118	0.00022	0.00114683	0.00111333	0.616649	-0.201823	False
9650000	0.0012525	0.0012125	0.0013725	0.0013725	0.00032	0.00048	0.00048	0.00032	0.00131917	0.000426667	0.10686	0.435384	False
9700000	0.001177	0.001057	0.001117	0.001067	0.00062	0.00068	0.00063	0.00025	0.00108033	0.000643333	-0.18921	-0.447709	False
