start	den_afr	alt_afr	vin_afr	chag_afr	den_alt	den_vin	den_chag	alt_vin	nea_afr	den_nea	z_den	z_nea	cddr
2200000	0.00106	0.001133	0.001183	0.001113	0.00062	0.00067	0.0006	0.00013	0.001143	0.00063	-0.666118	-0.324464	False
2250000	0.000762	0.0009	0.0009	0.00091	0.00036	0.00036	0.00037	6e-05	0.000903333	0.000363333	-1.77507	-1.15988	False
2300000	0.0011825	0.0011955	0.0012255	0.0012255	0.00069	0.00072	0.00072	9e-05	0.0012155	0.00071	-0.210255	-0.0717482	False
2350000	0.0013465	0.0013765	0.0013965	0.0013765	0.00035	0.00037	0.00035	0.00028	0.00138317	0.000356667	0.400043	0.512694	False
2400000	0.001256	0.001266	0.001326	0.001326	0.00029	0.00035	0.00031	6e-05	0.001306	0.000316667	0.0632626	0.243711	False
2450000	0.001134	0.000944	0.001014	0.001024	0.00029	0.00032	0.00033	0.00015	0.000994	0.000313333	-0.390739	-0.84384	False
2500000	0.000893	0.000843	0.000943	0.000893	0.00029	0.00039	0.00034	0.00018	0.000893	0.00034	-1.28758	-1.1959	False
2550000	0.002025	0.000801	0.000865	0.000785	0.00176	0.00179	0.00171	6e-05	0.000817	0.00175333	2.92496	-1.46082	False
2600000	0.0019625	0.0018435	0.002044	0.002064	0.00115	0.00087	0.00101	0.00052	0.00198383	0.00101	2.69238	2.60646	False
2650000	0.001699	0.002623	0.0021065	0.00159	0.00167	0.00149	0.00143	0.00092	0.0021065	0.00153	1.71181	3.03405	False
2700000	0.001753	0.001906	0.001976	0.001916	0.00039	0.00042	0.00036	0.00039	0.00193267	0.00039	1.91276	2.42811	False
2750000	0.001881	0.001907	0.001524	0.001504	0.00123	0.00123	0.00121	0.00068	0.001645	0.00122333	2.38909	1.42538	False
2800000	0.002407	0.002357	0.002357	0.002347	0.00063	0.00063	0.00062	2e-05	0.00235367	0.000626667	4.34651	3.89561	True
2850000	0.0026575	0.0026835	0.0027235	0.0027035	0.00047	0.00051	0.00049	8e-05	0.0027035	0.00049	5.2787	5.11503	True
2900000	0.00116	0.001102	0.001032	0.001052	0.00063	0.00056	0.00058	7e-05	0.001062	0.00059	-0.293985	-0.606809	False
2950000	0.001721	0.001461	0.001471	0.001501	0.00103	0.00104	0.00107	3e-05	0.00147767	0.00104667	1.79368	0.842097	False
3000000	0.001428	0.001127	0.001107	0.001137	0.00101	0.00099	0.00102	0.0001	0.00112367	0.00100667	0.703331	-0.391855	False
3050000	0.00082	0.000755	0.000761	0.000765	0.00018	0.00021	0.00019	-5e-05	0.000760333	0.000193333	-1.55924	-1.65834	False
3100000	0.0011935	0.0010475	0.0010875	0.0010775	0.00068	0.00074	0.00073	0.00016	0.00107083	0.000716667	-0.16932	-0.576019	False
3150000	0.0008945	0.0007465	0.0007615	0.0007415	0.0007	0.00074	0.00071	0.00014	0.000749833	0.000716667	-1.282	-1.69494	False
3200000	0.00132	0.001163	0.0012725	0.0012725	0.00094	0.00102	0.00102	0.0002	0.001236	0.000993333	0.301428	-0.000290478	False
3250000	0.001351	0.0012745	0.001274	0.001315	0.00053	0.00069	0.00084	0.00026	0.00128783	0.000686667	0.416789	0.180387	False
3300000	0.0011085	0.0010395	0.0011105	0.0010635	0.00058	0.00075	0.001	0.00042	0.00107117	0.000776667	-0.485633	-0.574857	False
3350000	0.001396	0.001335	0.0013655	0.001425	0.00018	0.00021	0.00027	5e-05	0.00137517	0.00022	0.584249	0.484808	False
3400000	0.000955	0.0011145	0.0011405	0.0011965	0.00092	0.00092	0.00095	0.00012	0.0011505	0.00093	-1.05686	-0.298321	False
3450000	0.0008925	0.0008595	0.0009035	0.0008735	0.00057	0.00069	0.00066	0.0003	0.000878833	0.00064	-1.28944	-1.24528	False
3500000	0.001343	0.001253	0.001283	0.001273	0.00066	0.00069	0.00068	0.00015	0.00126967	0.000676667	0.387018	0.117063	False
3550000	0.001217	0.001168	0.001208	0.001218	0.00049	0.00053	0.00054	-2e-05	0.001198	0.00052	-0.0818692	-0.132749	False
3600000	0.0010345	0.0012475	0.0012875	0.0012775	0.00076	0.0008	0.00079	0.00024	0.00127083	0.000783333	-0.761012	0.121129	False
3650000	0.001371	0.001426	0.001416	0.001426	0.00052	0.00051	0.00052	3e-05	0.00142267	0.000516667	0.491215	0.650381	False
3700000	0.0011965	0.0013365	0.0013165	0.0013165	0.00038	0.00036	0.00036	6e-05	0.00132317	0.000366667	-0.158156	0.30355	False
3750000	0.0017215	0.0017015	0.0017215	0.0017515	0.00038	0.0004	0.00043	0.00015	0.00172483	0.000403333	1.79554	1.70366	False
3800000	0.0019335	0.0020295	0.0020995	0.0020395	0.00127	0.00134	0.00128	0.00011	0.00205617	0.00129667	2.58446	2.8586	False
3850000	0.001601	0.001046	0.001036	0.001066	0.001	0.00099	0.00102	-0.00015	0.00104933	0.00100333	1.34712	-0.650962	False
3900000	0.001485	0.001435	0.001535	0.001485	0.00049	0.00059	0.00054	0.0001	0.001485	0.00054	0.915447	0.867659	False
3950000	0.001531	0.001487	0.001517	0.001487	0.00046	0.00049	0.00046	7e-05	0.001497	0.00047	1.08663	0.909488	False
4000000	0.0015105	0.0013145	0.0013945	0.0013445	0.00125	0.00133	0.00128	0.0001	0.00135117	0.00128667	1.01034	0.401151	False
4050000	0.001181	0.0010965	0.001078	0.001048	0.00097	0.0009	0.00087	0.00029	0.00107417	0.000913333	-0.215837	-0.564399	False
4100000	0.0009135	0.0009435	0.0009535	0.0009435	0.00049	0.0005	0.00049	-1e-05	0.000946833	0.000493333	-1.21129	-1.00825	False
4150000	0.001081	0.000971	0.001081	0.001051	0.00031	0.00042	0.00035	0.00027	0.00103433	0.00036	-0.58797	-0.703248	False
4200000	0.0007685	0.0008915	0.0009015	0.0009115	0.0008	0.00081	0.00082	0.00029	0.0009015	0.00081	-1.75088	-1.16627	False
4250000	0.0013485	0.0012435	0.0012455	0.0012645	0.00059	0.00059	0.00061	0.00016	0.00125117	0.000596667	0.407485	0.0525766	False
4300000	0.0012815	0.0014155	0.0014855	0.0014455	0.00129	0.00136	0.00132	0.00023	0.00144883	0.00132333	0.158156	0.741591	False
4350000	0.0008595	0.0008355	0.0008955	0.0008655	0.0006	0.00066	0.00063	0.00018	0.0008655	0.00063	-1.41224	-1.29176	False
4400000	0.0009215	0.0009765	0.0009465	0.0009665	0.00047	0.00044	0.00046	9e-05	0.000963167	0.000456667	-1.18152	-0.951317	False
4450000	0.000868	0.000828	0.000888	0.000948	0.00028	0.00034	0.0004	0.00018	0.000888	0.00034	-1.38061	-1.21333	False
4500000	0.0016035	0.002215	0.002175	0.002195	0.00113	0.00109	0.00111	0.00026	0.002195	0.00111	1.35642	3.34253	False
4550000	0.0012355	0.0010505	0.0010705	0.0010405	0.00114	0.00116	0.00113	0.0001	0.00105383	0.00114333	-0.0130246	-0.635276	False
4600000	0.000914	0.0012405	0.001478	0.001258	0.0008	0.00113	0.00091	0.00045	0.0013255	0.000946667	-1.20943	0.311683	False
4650000	0.0015075	0.0014175	0.0014275	0.0014175	0.00043	0.00044	0.00043	0.00029	0.00142083	0.000433333	0.999177	0.643991	False
4700000	0.0012645	0.0011845	0.0012345	0.0012145	0.00046	0.00051	0.00049	0.00023	0.00121117	0.000486667	0.0948939	-0.086853	False
4750000	0.0009805	0.0010425	0.0010525	0.0010525	0.00056	0.00057	0.00057	0.00017	0.00104917	0.000566667	-0.961963	-0.651543	False
4800000	0.0015025	0.0014205	0.0014405	0.0014305	0.0008	0.00082	0.00081	0.00013	0.0014305	0.00081	0.98057	0.677686	False
4850000	0.0013315	0.0011855	0.0011755	0.0011955	0.00049	0.00048	0.0005	7e-05	0.0011855	0.00049	0.344223	-0.17632	False
4900000	0.001079	0.001297	0.001396	0.001357	0.00062	0.00072	0.00068	4e-05	0.00135	0.000673333	-0.595413	0.397084	False
4950000	0.001116	0.000965	0.000995	0.000995	0.00071	0.00074	0.00074	0.00011	0.000985	0.00073	-0.457723	-0.875211	False
5000000	0.0017345	0.0014515	0.0014515	0.0014215	0.00038	0.00038	0.00035	2e-05	0.0014415	0.00037	1.84392	0.716029	False
5050000	0.0010755	0.001199	0.001269	0.001219	0.00116	0.00123	0.00118	0.00015	0.001229	0.00119	-0.608437	-0.0246907	False
5100000	0.0012805	0.0014975	0.0014975	0.0014875	0.0006	0.0006	0.00059	0.00016	0.00149417	0.000596667	0.154435	0.899611	False
5150000	0.0013005	0.0013305	0.0012705	0.0012505	0.00047	0.00041	0.00039	0.00018	0.00128383	0.000423333	0.228862	0.166444	False
5200000	0.001272	0.0011275	0.001212	0.001212	0.00045	0.00042	0.00042	0.00025	0.00118383	0.00043	0.122804	-0.18213	False
5250000	0.003092	0.001139	0.001179	0.001179	0.00306	0.0031	0.0031	2e-05	0.00116567	0.00308667	6.89562	-0.245454	True
5300000	0.001097	0.000977	0.001057	0.001037	0.0006	0.00068	0.00066	0.00022	0.00102367	0.000646667	-0.528429	-0.740429	False
5350000	0.0010985	0.0010205	0.0011105	0.0010905	0.00064	0.00073	0.00071	0.0003	0.00107383	0.000693333	-0.522847	-0.565561	False
5400000	0.001265	0.001708	0.001475	0.001475	0.00169	0.00134	0.00134	0.00053	0.00155267	0.00145667	0.0967545	1.10353	False
5450000	0.0011065	0.0009675	0.0009475	0.0009375	0.00065	0.00063	0.00062	8e-05	0.000950833	0.000633333	-0.493076	-0.994307	False
5500000	0.000997	0.000667	0.000747	0.000697	0.00085	0.00093	0.00088	0.0001	0.000703667	0.000886667	-0.900561	-1.85587	False
5550000	0.0012405	0.0012465	0.0013265	0.0012765	0.00092	0.001	0.00095	0.00016	0.00128317	0.000956667	0.00558199	0.16412	False
5600000	0.0006925	0.0013235	0.0013735	0.0013835	0.00091	0.00096	0.00097	7e-05	0.00136017	0.000946667	-2.03371	0.432522	False
5650000	0.0011315	0.0010465	0.0011065	0.0010765	0.0005	0.00056	0.00053	0.00012	0.0010765	0.00053	-0.400043	-0.556266	False
5700000	0.001589	0.00139	0.00139	0.00139	0.00075	0.00075	0.00075	3e-05	0.00139	0.00075	1.30246	0.536514	False
5750000	0.0011125	0.0010925	0.0011025	0.0011325	0.0002	0.00021	0.00024	0.00011	0.00110917	0.000216667	-0.470748	-0.442399	False
5800000	0.001238	0.001168	0.001218	0.001218	0.00033	0.00038	0.00038	0.00019	0.00120133	0.000363333	-0.00372133	-0.121129	False
5850000	0.001146	0.001026	0.001046	0.001056	0.00042	0.00044	0.00045	0.00024	0.00104267	0.000436667	-0.346084	-0.6742	False
5900000	0.0014045	0.0015155	0.0015055	0.0014955	0.00082	0.00081	0.0008	0.00013	0.0015055	0.00081	0.61588	0.939117	False
5950000	0.001067	0.000977	0.001047	0.001017	0.00027	0.00034	0.00031	5e-05	0.00101367	0.000306667	-0.640068	-0.775287	False
6000000	0.0017625	0.0012125	0.0012125	0.0012025	0.00134	0.00134	0.00133	0.00014	0.00120917	0.00133667	1.94812	-0.0938245	False
6050000	0.001051	0.000787	0.000787	0.000797	0.00066	0.00066	0.00067	0.00016	0.000790333	0.000663333	-0.69961	-1.55377	False
6100000	0.001209	0.001167	0.001157	0.001157	0.00086	0.00085	0.00085	1e-05	0.00116033	0.000853333	-0.11164	-0.264045	False
6150000	0.0011305	0.0010005	0.0009805	0.0009705	0.00089	0.00087	0.00086	8e-05	0.000983833	0.000873333	-0.403764	-0.879278	False
6200000	0.0013025	0.0009735	0.0010135	0.0010035	0.00065	0.00065	0.00064	8e-05	0.000996833	0.000646667	0.236304	-0.833963	False
6250000	0.0013925	0.0013635	0.0013345	0.0013485	0.00054	0.00044	0.00058	0.00027	0.00134883	0.00052	0.571224	0.393017	False
6300000	0.001377	0.00141	0.00139	0.00136	0.00065	0.00063	0.00064	2e-05	0.00138667	0.00064	0.513543	0.524894	False
6350000	0.000971	0.000931	0.000941	0.000931	0.00026	0.00027	0.00026	0.00015	0.000934333	0.000263333	-0.997316	-1.05182	False
6400000	0.0012345	0.0011645	0.0012345	0.0012445	0.00029	0.00036	0.00037	0.00017	0.0012145	0.00034	-0.016746	-0.0752339	False
6450000	0.0013725	0.0014525	0.0014925	0.0014625	0.0002	0.00024	0.00021	4e-05	0.00146917	0.000216667	0.496797	0.812468	False
6500000	0.0010945	0.0009145	0.0009245	0.0009825	0.00034	0.00035	0.0003	9e-05	0.0009405	0.00033	-0.537732	-1.03033	False
6550000	0.0014195	0.0013995	0.0015095	0.0015095	0.00046	0.00057	0.00057	0.00023	0.00147283	0.000533333	0.6717	0.825249	False
6600000	0.001159	0.001066	0.001106	0.001126	0.00056	0.0006	0.00062	8e-05	0.00109933	0.000593333	-0.297706	-0.476675	False
6650000	0.0010625	0.0010635	0.0010735	0.0010835	0.00056	0.00057	0.00058	0.00011	0.0010735	0.00057	-0.656814	-0.566723	False
6700000	0.0014345	0.001395	0.001515	0.001455	0.00045	0.00053	0.00049	0.0004	0.001455	0.00049	0.72752	0.763087	False
