pattern	total	per_window	alpha	alpha_se	latent_ac	latent_ac_se	dispersion	dispersion_se	autocorr	autocorr_se
pat_nea_all	38529	9.63225	0.535045	0.0404395	0.383069	0.0438935	5.96955	0.449407	0.31862	0.0408063
pat_den_only	72434	18.1085	0.276351	0.0247292	0.514396	0.0419634	5.77662	0.453467	0.423561	0.0392465
pat_all_arch	35990	8.9975	0.470916	0.0170862	0.204523	0.0234189	5.27335	0.115573	0.166499	0.0192616
pat_alt_only	23052	5.763	1.08905	0.1139	0.36585	0.0435968	6.90091	0.774318	0.309233	0.0409648
pat_vin_only	16335	4.08375	0.648343	0.111287	0.272593	0.0328151	3.38545	0.345989	0.18869	0.0250759
pat_chag_only	14717	3.67925	0.916813	0.109419	0.291765	0.0331394	4.28554	0.416994	0.222979	0.0243256
