pattern	total	per_window	alpha	alpha_se	latent_ac	latent_ac_se	dispersion	dispersion_se	autocorr	autocorr_se
pat_nea_all	47432	11.858	0.59312	0.0243972	0.311323	0.0231652	7.71179	0.366914	0.270103	0.0207717
pat_den_only	77489	19.3723	0.242289	0.0107386	0.348863	0.0259846	5.60993	0.258061	0.286156	0.0218876
pat_all_arch	45972	11.493	0.637653	0.0284716	0.309673	0.0338034	8.13313	0.395505	0.271173	0.0312041
pat_alt_only	19189	4.79725	0.440987	0.0575672	0.322542	0.0300485	3.02214	0.27345	0.215303	0.0243999
pat_vin_only	15334	3.8335	0.330301	0.0441308	0.361608	0.0360573	2.21059	0.14986	0.198393	0.0188652
pat_chag_only	13418	3.3545	0.405584	0.0288901	0.342498	0.036988	2.34514	0.100054	0.19992	0.0198151
