pattern	total	per_window	alpha	alpha_se	latent_ac	latent_ac_se	dispersion	dispersion_se	autocorr	autocorr_se
pat_nea_all	33805	8.45125	0.258648	0.0115139	0.204024	0.0276942	3.16566	0.092038	0.140603	0.0195181
pat_den_only	61517	15.3793	0.0963836	0.00700629	0.291535	0.027917	2.46341	0.0904864	0.17561	0.0178501
pat_all_arch	41146	10.2865	0.392911	0.0145159	0.179994	0.0219484	4.96822	0.12668	0.143867	0.0177193
pat_alt_only	18191	4.54775	0.275162	0.0156573	0.368161	0.0343554	2.22503	0.0670548	0.206117	0.0200509
pat_vin_only	15127	3.78175	0.259282	0.0253917	0.380168	0.0358381	1.9374	0.0767955	0.187189	0.0162504
pat_chag_only	13076	3.269	0.315781	0.0226603	0.435508	0.0361955	2.01495	0.0678265	0.224811	0.018468
